"","Player","Nominal_Salary","Real_Salary","Team","Season","Team_Name","Team_City"
"2","Chris Mullin",2850000,5656054,"golden_state_warriors","1990","Warriors","Golden State"
"3","Alton Lister",1700000,3373786,"golden_state_warriors","1990","Warriors","Golden State"
"4","Sarunas Marciulionis",1270000,2520417,"golden_state_warriors","1990","Warriors","Golden State"
"5","Jim Petersen",1235000,2450956,"golden_state_warriors","1990","Warriors","Golden State"
"6","Tyrone Hill",1e+06,1984580,"golden_state_warriors","1990","Warriors","Golden State"
"7","Mitch Richmond",850000,1686893,"golden_state_warriors","1990","Warriors","Golden State"
"8","Les Jepsen",505000,1002213,"golden_state_warriors","1990","Warriors","Golden State"
"9","Tim Hardaway",5e+05,992290,"golden_state_warriors","1990","Warriors","Golden State"
"10","Rod Higgins",5e+05,992290,"golden_state_warriors","1990","Warriors","Golden State"
"11","Tom Tolbert",405000,803755,"golden_state_warriors","1990","Warriors","Golden State"
"12","Kevin Pritchard",185000,367147,"golden_state_warriors","1990","Warriors","Golden State"
"13","Paul Mokeski",1e+05,198458,"golden_state_warriors","1990","Warriors","Golden State"
"14","Mario Elie",50000,99229,"golden_state_warriors","1990","Warriors","Golden State"
"17","Chris Mullin",2844000,5390990,"golden_state_warriors","1991","Warriors","Golden State"
"18","Billy Owens",1509000,2860409,"golden_state_warriors","1991","Warriors","Golden State"
"19","Alton Lister",1333000,2526789,"golden_state_warriors","1991","Warriors","Golden State"
"20","Sarunas Marciulionis",1267000,2401682,"golden_state_warriors","1991","Warriors","Golden State"
"21","Tyrone Hill",1200000,2274679,"golden_state_warriors","1991","Warriors","Golden State"
"22","Jim Petersen",936000,1774249,"golden_state_warriors","1991","Warriors","Golden State"
"23","Victor Alexander",750000,1421674,"golden_state_warriors","1991","Warriors","Golden State"
"24","Chris Gatling",7e+05,1326896,"golden_state_warriors","1991","Warriors","Golden State"
"25","Tim Hardaway",640000,1213162,"golden_state_warriors","1991","Warriors","Golden State"
"26","Rod Higgins",550000,1042561,"golden_state_warriors","1991","Warriors","Golden State"
"27","Tom Tolbert",506000,959156,"golden_state_warriors","1991","Warriors","Golden State"
"28","Vincent Askew",135000,255901,"golden_state_warriors","1991","Warriors","Golden State"
"29","Mario Elie",130000,246423,"golden_state_warriors","1991","Warriors","Golden State"
"32","Chris Mullin",2844000,5229491,"golden_state_warriors","1992","Warriors","Golden State"
"33","Billy Owens",1962000,3607686,"golden_state_warriors","1992","Warriors","Golden State"
"34","Sarunas Marciulionis",1500000,2758170,"golden_state_warriors","1992","Warriors","Golden State"
"35","Tyrone Hill",1400000,2574292,"golden_state_warriors","1992","Warriors","Golden State"
"36","Alton Lister",1283000,2359155,"golden_state_warriors","1992","Warriors","Golden State"
"37","Jim Petersen",1221000,2245150,"golden_state_warriors","1992","Warriors","Golden State"
"38","Victor Alexander",942000,1732131,"golden_state_warriors","1992","Warriors","Golden State"
"39","Chris Gatling",910000,1673290,"golden_state_warriors","1992","Warriors","Golden State"
"40","Tim Hardaway",690000,1268758,"golden_state_warriors","1992","Warriors","Golden State"
"41","Tom Tolbert",606000,1114300,"golden_state_warriors","1992","Warriors","Golden State"
"42","Latrell Sprewell",550000,1011329,"golden_state_warriors","1992","Warriors","Golden State"
"43","Jeff Grayer",550000,1011329,"golden_state_warriors","1992","Warriors","Golden State"
"44","Byron Houston",5e+05,919390,"golden_state_warriors","1992","Warriors","Golden State"
"45","Jud Buechler",375000,689542,"golden_state_warriors","1992","Warriors","Golden State"
"46","Keith Jennings",140000,257429,"golden_state_warriors","1992","Warriors","Golden State"
"49","Tim Hardaway",3340000,5962894,"golden_state_warriors","1993","Warriors","Golden State"
"50","Chris Mullin",2844000,5077386,"golden_state_warriors","1993","Warriors","Golden State"
"51","Billy Owens",2414000,4309708,"golden_state_warriors","1993","Warriors","Golden State"
"52","Sarunas Marciulionis",1900000,3392065,"golden_state_warriors","1993","Warriors","Golden State"
"53","Chris Webber",1600000,2856476,"golden_state_warriors","1993","Warriors","Golden State"
"54","Jim Petersen",1521000,2715437,"golden_state_warriors","1993","Warriors","Golden State"
"55","Victor Alexander",1160000,2070945,"golden_state_warriors","1993","Warriors","Golden State"
"56","Chris Gatling",1120000,1999533,"golden_state_warriors","1993","Warriors","Golden State"
"57","Jeff Grayer",715000,1276487,"golden_state_warriors","1993","Warriors","Golden State"
"58","Latrell Sprewell",7e+05,1249708,"golden_state_warriors","1993","Warriors","Golden State"
"59","Byron Houston",6e+05,1071178,"golden_state_warriors","1993","Warriors","Golden State"
"60","Jud Buechler",375000,669486,"golden_state_warriors","1993","Warriors","Golden State"
"61","Avery Johnson",3e+05,535589,"golden_state_warriors","1993","Warriors","Golden State"
"62","Keith Jennings",250000,446324,"golden_state_warriors","1993","Warriors","Golden State"
"63","Andre Spencer",250000,446324,"golden_state_warriors","1993","Warriors","Golden State"
"64","Josh Grant",150000,267794,"golden_state_warriors","1993","Warriors","Golden State"
"67","Tim Hardaway",3703000,6450150,"golden_state_warriors","1994","Warriors","Golden State"
"68","Rony Seikaly",3297000,5742950,"golden_state_warriors","1994","Warriors","Golden State"
"69","Chris Mullin",2844000,4953882,"golden_state_warriors","1994","Warriors","Golden State"
"70","Ricky Pierce",2500000,4354679,"golden_state_warriors","1994","Warriors","Golden State"
"71","Tom Gugliotta",1625000,2830541,"golden_state_warriors","1994","Warriors","Golden State"
"72","Victor Alexander",1377500,2399428,"golden_state_warriors","1994","Warriors","Golden State"
"73","Chris Gatling",1330000,2316689,"golden_state_warriors","1994","Warriors","Golden State"
"74","Latrell Sprewell",890000,1550265,"golden_state_warriors","1994","Warriors","Golden State"
"75","Carlos Rogers",715000,1245438,"golden_state_warriors","1994","Warriors","Golden State"
"76","Clifford Rozier",650000,1132216,"golden_state_warriors","1994","Warriors","Golden State"
"77","Keith Jennings",350000,609655,"golden_state_warriors","1994","Warriors","Golden State"
"78","Manute Bol",2e+05,348374,"golden_state_warriors","1994","Warriors","Golden State"
"79","David Wood",150000,261280,"golden_state_warriors","1994","Warriors","Golden State"
"80","Dwayne Morton",150000,261280,"golden_state_warriors","1994","Warriors","Golden State"
"81","Rod Higgins",15800,27521,"golden_state_warriors","1994","Warriors","Golden State"
"84","Tim Hardaway",3728000,6302080,"golden_state_warriors","1995","Warriors","Golden State"
"85","Rony Seikaly",3532000,5970747,"golden_state_warriors","1995","Warriors","Golden State"
